Date,AAPL,GOOGL,MSFT,AMZN,TSLA,NAT,AMD,AACT,META
2021-11-16,149.69277954101562,147.87600708007812,334.1746826171875,177.03500366210938,351.57666015625,1.851351022720337,152.4499969482422,,342.9599914550781
2021-11-17,152.16122436523438,148.0469970703125,334.4014587402344,177.4499969482422,363.0033264160156,1.816087007522583,151.33999633789062,,340.7699890136719
2021-11-18,156.50328063964844,149.8385009765625,336.5215759277344,184.80299377441406,365.4599914550781,1.7455594539642334,155.02000427246094,,338.69000244140625
2021-11-19,159.1600799560547,148.92649841308594,338.3359069824219,183.82850646972656,379.0199890136719,1.7014795541763306,155.41000366210938,,345.29998779296875
2021-11-22,159.62600708007812,146.302001953125,335.1015625,178.6284942626953,385.6233215332031,1.6397680044174194,152.52000427246094,,341.010009765625
2021-11-23,160.0126495361328,145.78199768066406,332.9814758300781,179.0019989013672,369.6766662597656,1.683847427368164,149.9199981689453,,337.25
2021-11-24,160.53805541992188,146.1199951171875,333.2082824707031,179.02049255371094,372.0,1.6926636695861816,157.8000030517578,,341.05999755859375
2021-11-26,155.4524688720703,142.18299865722656,325.0928039550781,175.22799682617188,360.6400146484375,1.6397680044174194,154.80999755859375,,333.1199951171875
2021-11-29,158.85276794433594,145.53050231933594,331.94610595703125,178.07850646972656,378.9966735839844,1.630952000617981,161.91000366210938,,338.0299987792969
2021-11-30,163.86895751953125,141.8975067138672,325.9901123046875,175.35350036621094,381.586669921875,1.7455594539642334,158.3699951171875,,324.4599914550781
2021-12-01,163.34356689453125,141.05149841308594,325.48724365234375,172.18600463867188,365.0,1.5956881046295166,149.11000061035156,,310.6000061035156
2021-12-02,162.34231567382812,142.96600341796875,324.90545654296875,171.8679962158203,361.5333251953125,1.6485837697982788,150.67999267578125,,310.3900146484375
2021-12-03,160.4389190673828,142.00149536132812,318.515625,169.489501953125,338.3233337402344,1.5868721008300781,144.00999450683594,,306.8399963378906
2021-12-06,163.8887939453125,143.15499877929688,321.6513671875,171.36849975585938,336.336669921875,1.6311981678009033,139.05999755859375,,317.8699951171875
2021-12-07,169.6980438232422,147.26950073242188,330.2599182128906,176.1645050048828,350.5833435058594,1.7649030685424805,144.85000610351562,,322.80999755859375
2021-12-08,173.56431579589844,148.18649291992188,330.3092041015625,176.1580047607422,356.32000732421875,1.8629531860351562,145.24000549316406,,330.55999755859375
2021-12-09,173.04879760742188,147.6385040283203,328.4652099609375,174.17100524902344,334.6000061035156,1.8005577325820923,138.10000610351562,,329.82000732421875
2021-12-10,177.89645385742188,148.00149536132812,337.7738952636719,172.21200561523438,339.010009765625,1.7916439771652222,138.5500030517578,,329.75
2021-12-13,174.21859741210938,145.82650756835938,334.6775817871094,169.5675048828125,322.13665771484375,1.7559894323349,133.8000030517578,,334.489990234375
2021-12-14,172.82080078125,143.90699768066406,323.771484375,169.0915069580078,319.5033264160156,1.6668529510498047,135.60000610351562,,333.739990234375
2021-12-15,177.74774169921875,146.4409942626953,329.9936218261719,173.31500244140625,325.3299865722656,1.7025073766708374,146.5,,341.6600036621094
2021-12-16,170.76869201660156,144.44500732421875,320.3792724609375,168.87100219726562,308.97332763671875,1.6668529510498047,138.63999938964844,,334.8999938964844
2021-12-17,169.6584014892578,141.72500610351562,319.29461669921875,170.0175018310547,310.8566589355469,1.6311982870101929,137.75,,333.7900085449219
2021-12-20,168.2804412841797,141.60699462890625,315.4587707519531,167.07899475097656,299.9800109863281,1.6311982870101929,135.8000030517578,,325.45001220703125
2021-12-21,171.4923858642578,143.47250366210938,322.736083984375,170.41700744628906,312.84332275390625,1.595543622970581,144.25,,334.20001220703125
2021-12-22,174.1194305419922,146.4149932861328,328.5638427734375,171.03700256347656,336.2900085449219,1.6044572591781616,143.8800048828125,,330.45001220703125
2021-12-23,174.75390625,146.91650390625,330.0331115722656,171.06849670410156,355.6666564941406,1.595543622970581,146.13999938964844,,335.239990234375
2021-12-27,178.7688446044922,147.906494140625,337.6851501464844,169.66949462890625,364.64666748046875,1.5598890781402588,154.36000061035156,,346.17999267578125
